aparelho;ord;avaliacao;estrela
a23;34;Maravilhoso! Entregou antes da data prevista.;5
a23;41;A qualidade da cÉmera frontal deveria melhorar.;3
a23;48;Entrega r†pida, produto perfeito.;5
a23;55;Comprei para minha sobrinha e ela est† adorando o produto . Entrega r†pida .;5
a23;62;Muito bom!!!;5
a23;69;Dei de presente e quem recebeu gostou muito. Achei as cameras boas;5
a23;76;Otima camera, tamanho bem grande do jeito que gosto ¢timo preáo e custo benef°cio??;4
a23;83;‡timo designer, muito bom desempenho, as cÉmeras s∆o ¢timas com uma imagem muito boa.;5
a23;90;Entregue perfeitamente, antes do prazo. Celular muito bom e rapido, ele n∆o esquenta.;5
a23;97;Comprei para minha esposa, considerando o cashback sai por 700 pilas, valeu a pena demais.;5
a23;104;Tamanho Ç ¢timo, design lindo, funciona super bem. <3;5
a23;111;Otimo ...lindo;5
a23;118;Nao e rapido e ainda vem sem fone, nada do que promete;2
a23;125;Para um aparelho basico surpreende as expectativas.;5
a23;132;‡timo custo benef°cio, muito r†pido, boa mem¢ria e bateria dur†vel.;5
a23;139;To com o aparelho a cerca de 30 dias Tem sido muito util Nao uso muitos apps. Memoria bacana Nao descepciona;5
a23;146;O celular veio perfeito, funciona muito bem e atende as minhas necessidades.;5
a23;153;Celular bom achei a camera lenta e a selfie qualidade baixa mas no geral gostei;4
a23;160;Celular muito bom, bonito e a bateria tem muita durabilidade.;5
a23;167;Perfeito! Desde a compra ate a entrega. Super recomendo. Obrigada.;5
a23;174;Muito bom, bateria dura muito!;5
a23;181;Amei muuuuito;5
a23;188;Produto com preáo razo†vel e boa qualidade;5
a23;195;Excelente produto. Eu estou gostando, atÇ o momento est† me satisfazendo. Sem contar que a camera tem uma resolucao muito boa.;5
a23;202;Aparelho ¢timo pra uso do dia a dia, ou atÇ pra jogos. s¢ no quesito cÉmera que ele n∆o Ç muito bom. De resto, atende as expectativas.;4
a23;209;Muito bonito, entrega antes do praso, celular grande, rapido, tem boas cameras, nao s∆o fant†sticas, mas da para tirar boas fotos, achei o processador rapido mesmo tendo apenas 4 GB de ram, contudo nao testei em jogos, mas acho que da para rodar de boa.;5
a23;216;Comprei para dar a minha m∆e de presente, ela est† super satisfeita;5
a23;223;Grande e bonito qualidade ¢tima;5
